USN,SEMESTER,SUBJECT CODE,SUBJECT NAME,"IAT1
",IAT2,IA FINAL MARKS,SUBJECT CODE,SUBJECT NAME,"IAT1
",IAT2,IA FINAL MARKS,SUBJECT CODE,SUBJECT NAME,"IAT1
",IAT2,IA FINAL MARKS,SUBJECT CODE,SUBJECT NAME,"IAT1
",IAT2,IA FINAL MARKS
1CR23IS001,6,BCS602,Machine Learning,AB,,,BIS601,Full Stack Development,0,,,BIS613D ,CCS,AB,,,BET654A,TRES(OE),0,,
1CR23IS002,6,BCS602,Machine Learning,41,,,BIS601,Full Stack Development,49,,,BIS613D ,CCS,45,,,BET654A,TRES(OE),42,,
1CR23IS003,6,BCS602,Machine Learning,36,,,BIS601,Full Stack Development,28,,,BIS613D ,CCS,39,,,BET654A,TRES(OE),26,,
1CR23IS004,6,BCS602,Machine Learning,30,,,BIS601,Full Stack Development,27,,,BIS613D ,CCS,33,,,BET654A,TRES(OE),41,,
1CR23IS005,6,BCS602,Machine Learning,40,,,BIS601,Full Stack Development,49,,,BIS613D ,CCS,43,,,BET654A,TRES(OE),35,,
1CR23IS006,6,BCS602,Machine Learning,42,,,BIS601,Full Stack Development,38,,,BIS613D ,CCS,40,,,BET654A,TRES(OE),36,,
1CR23IS007,6,BCS602,Machine Learning,44,,,BIS601,Full Stack Development,43,,,BIS613D ,CCS,42,,,BET654A,TRES(OE),50,,
1CR23IS008,6,BCS602,Machine Learning,47,,,BIS601,Full Stack Development,49,,,BIS613D ,CCS,45,,,BET654A,TRES(OE),50,,
1CR23IS009,6,BCS602,Machine Learning,39,,,BIS601,Full Stack Development,44,,,BIS613D ,CCS,40,,,BET654A,TRES(OE),48,,
1CR23IS010,6,BCS602,Machine Learning,37,,,BIS601,Full Stack Development,42,,,BIS613D ,CCS,39,,,BET654A,TRES(OE),48,,
1CR23IS011,6,BCS602,Machine Learning,28,,,BIS601,Full Stack Development,44,,,BIS613D ,CCS,29,,,BET654A,TRES(OE),38,,
1CR23IS012,6,BCS602,Machine Learning,43,,,BIS601,Full Stack Development,47,,,BIS613D ,CCS,36,,,BET654A,TRES(OE),43,,
1CR23IS013,6,BCS602,Machine Learning,43,,,BIS601,Full Stack Development,48,,,BIS613D ,CCS,36,,,BET654A,TRES(OE),45,,
1CR23IS014,6,BCS602,Machine Learning,28,,,BIS601,Full Stack Development,49,,,BIS613D ,CCS,15,,,BET654A,TRES(OE),46,,
1CR23IS015,6,BCS602,Machine Learning,40,,,BIS601,Full Stack Development,35,,,BIS613D ,CCS,32,,,BET654A,TRES(OE),46,,
1CR23IS016,6,BCS602,Machine Learning,8,,,BIS601,Full Stack Development,26,,,BIS613D ,CCS,AB,,,BET654A,TRES(OE),0,,
1CR23IS017,6,BCS602,Machine Learning,49,,,BIS601,Full Stack Development,49,,,BIS613D ,CCS,38,,,BET654A,TRES(OE),47,,
1CR23IS018,6,BCS602,Machine Learning,47,,,BIS601,Full Stack Development,46,,,BIS613D ,CCS,40,,,BET654A,TRES(OE),44,,
1CR23IS019,6,BCS602,Machine Learning,41,,,BIS601,Full Stack Development,44,,,BIS613D ,CCS,AB,,,BET654A,TRES(OE),41,,
1CR23IS020,6,BCS602,Machine Learning,AB,,,BIS601,Full Stack Development,0,,,BIS613D ,CCS,AB,,,BET654A,TRES(OE),0,,
1CR23IS021,6,BCS602,Machine Learning,45,,,BIS601,Full Stack Development,49,,,BIS613D ,CCS,34,,,BET654A,TRES(OE),48,,
1CR23IS022,6,BCS602,Machine Learning,37,,,BIS601,Full Stack Development,38,,,BIS613D ,CCS,41,,,BET654A,TRES(OE),47,,
1CR23IS023,6,BCS602,Machine Learning,47,,,BIS601,Full Stack Development,48,,,BIS613D ,CCS,45,,,BET654A,TRES(OE),50,,
1CR23IS024,6,BCS602,Machine Learning,AB,,,BIS601,Full Stack Development,0,,,BIS613D ,CCS,AB,,,BET654A,TRES(OE),34,,
1CR23IS025,6,BCS602,Machine Learning,43,,,BIS601,Full Stack Development,40,,,BIS613D ,CCS,38,,,BET654A,TRES(OE),46,,
1CR23IS026,6,BCS602,Machine Learning,41,,,BIS601,Full Stack Development,46,,,BIS613D ,CCS,40,,,BET654A,TRES(OE),47,,
1CR23IS027,6,BCS602,Machine Learning,AB,,,BIS601,Full Stack Development,0,,,BIS613D ,CCS,AB,,,BET654A,TRES(OE),0,,
1CR23IS028,6,BCS602,Machine Learning,32,,,BIS601,Full Stack Development,30,,,BIS613D ,CCS,29,,,BET654A,TRES(OE),41,,
1CR23IS029,6,BCS602,Machine Learning,28,,,BIS601,Full Stack Development,0,,,BIS613D ,CCS,AB,,,BET654A,TRES(OE),39,,
